"Organisasjonsnummer";"Content"
839627262;"Ideell organisasjon som arbeider med informasjon vedrørende skog og skogsdrift. "
840398412;"Å skaffe billig bolig for så mange av dets medlemmer i deres eldre år, som selskapets eiendom \"Kong Oscars Minde\" til enhver tid er innredet for, idet det dog i bygningen skal være reservert leilighet for eiendommens vaktmester og værelser til stiftelsens hushjelper. "
856331482;"Å samle ingeniører og arkitekter i en yrkesorganisasjon som skal ivareta medlemmenes interesser, høyne deres sosiale anseelse og trygge deres økonomiske kår, arbeide gjennom landsomfattende sektorer for medlemmer som er ansatt i privat, kommunal og statlig virksomhet, opprette overenskomster for å sikre medlemmene best mulige lønns- og arbeidsvilkår,fremme forståelse og samhold og virke for standens innsa tekniske liv, virke for teknikkens fremskritt så vel på de teoretiske som på det praktiske område, arbeide for å holde det tekniske undervisningsvesen på høyde med tidens krav, oppta og formidle samarbeid med andre innen- og utenlandske oranisasjoner til ivaretaking av felles interesser. "
860474522;"Kirkesamfunn. "
864139442;"Sosialtjenester utenfor institusjon ellers. "
871096422;"Arbeidstakerorganisasjoner "
871276072;"Trossamfunn. "
871427062;"Rusbehandling. "
871436142;"Kirkelig virksomhet. "
871490872;"Et Islamsk ( Shiit Ithnaishri Sekt ). Trossamfunn. "
875561162;"Å opprettholde Oslo katedralskole som institusjon. "
875713442;"Seilforening. "
875977342;"Støtte utviklingen av antroposofisk terapeutisk behandling. "
877137082;"Stiftelsens formål er å iversksette og drive pedagogisk virksomhet for elever med spesielle behov, herunder å eie og drive skolegrunn og bygninger. Skolens virksomhet skal baseres på Rudolf Steiners pedagogiske og helsepedagogiske ideer og metoder. Driften er underlagt friskoleloven av 04.07.2003 nr.83 og godkjent etter § 6-6. "
879136962;"Veldedig virksomhet knyttet til helbredelse og lindring av kreftsykdom. "
879251532;"Stiftelsens formål er å være den norske formelle juridiske og økonomiske organiseringen av Kongregasjonen Dominikanerinnene av Notre Dame de Grâce's virksomhet i Norge. I tillegg er kongregasjonen underlagt katolsk pavelig jurisdiksjon. For å bli en del av denne må man oppfylle de krav som Kongregasjonene Dominikanerinnene av Notre Dame de Grâce stiller. Som en del av stiftelsens formål er også, men ikke begrenset til, å være en støtte for Sta. Katarinahjemmet, et hjem i Oslo \"for unge norske pikers opdragelse og uddannelse\". Stiftelsen skal understøtte Sta. Katarinahjemmet. "
879492742;"Trossamfunn. "
879628512;"Å påse at eiend. Josefinesgt. 15 i Oslo forvaltes i tråd med gaveskjøte fra Alf Hurum. Å få god avkastning av stiftelsens likvid for formue. Å arbeide for å styrke norske musikklæreres kunstneriske og pedagogiske interesser, bl.a. ved tildeling av stipend "
884026172;"Utdanningsforbundet er en partipolitisk, uavhengig fagforening for pedagogisk personale innenfor alle utdanningsnivåer. Utdanningsforbundet skal ivareta medlemmenes interesser når det gjelder lønns- og arbeidsvilkår og når det gjelder utdanningspolitiske spørsmål. Utdanningsforbundet skal arbeide for at barn, unge og voksne får et kvalitativt godt opplæringstilbud, og at utdanning skal ha en sentralrolle i samfunnet. "
887978352;"Forening som driver ideell virksomhet for å fremme en harmonisk utvikling av mennesker. "
889339322;"Drive barnehage ut fra Rudolf Steiners pedagogiske prinsipper. "
911743418;"Drift av aktivitetssenter med varierte aktiviteter hovedsakelig knyttet til hest, herunder opplæring, trening og terapi for både funksjonshemmede og funksjonsfriske barn og voksne. "
912403033;"Eie og drifte Markus menighetshus og utvikle og legge tilrette for ulike former for menighetsarbeid. Stiftelsen har ikke erverv til formål. "
915917399;"Idrettslag med formål å drive idrettsaktiviteter for nåværende og tidligere elever ved Rønningen Folkehøgskole "
917968276;"Stiftelsens formål er å fremme forskning innenfor privatrett. "
938419264;"Misjonsorganisasjon, bistandsarbeide i u - land. "
938429863;"Humanitær landsomfattende organisasjon. "
938431744;"Trossamfunn. "
938442037;"Vedlikehold og drift av eldreboliger + utleie av disse. "
938679177;"Misjonsvirksomhet. "
938709599;"Fagforbund for sjøfolk og fiskere. "
938726582;"Drift av barnehager, sykehus og drift av omsorgsinstitusjon. "
938736170;"Sende forkynnere, havnemisjonærer og velferdsarbeidere, drive kretsarbeid, etablere foreninger, barne- og ungdomslag, kontakter og møteplasser, drive leirarbeid, gi ut misjonsblad og drive informasjonsvirksomhet, drive fiskarheimer, betelskip, havnemisjon, arbeid blant utenlandske sjøfolk og eventuelt annet arbeid som kan fremme misjonens formål. "
938835969;"Religiøs organisasjon. Sunn-muslimsk. "
939463682;"Fleridrettslag. "
